trip_year,trip_quarter,trip_month,trip_month_name,trip_weekday,weekday_number,total_trips,total_revenue,total_passengers
2022,Q1,1,January,Sunday,1,343361,6919606,482400
2022,Q1,1,January,Monday,2,374055,7402888.72,495521
2022,Q1,1,January,Tuesday,3,324117,6066322.95,426985
2022,Q1,1,January,Wednesday,4,338331,6232840.81,444313
2022,Q1,1,January,Thursday,5,355405,6616182.28,468017
2022,Q1,1,January,Friday,6,362334,7197588.82,486044
2022,Q1,1,January,Saturday,7,366297,6796126.59,520802
2022,Q1,2,February,Sunday,1,376661,7556365.18,528570
2022,Q1,2,February,Monday,2,387544,7807763.53,515661
2022,Q1,2,February,Tuesday,3,407019,7876321.19,531240
2022,Q1,2,February,Wednesday,4,421138,8144643.5,550225
2022,Q1,2,February,Thursday,5,450398,8779212.1,588387
2022,Q1,2,February,Friday,6,462564,9023835.64,621632
2022,Q1,2,February,Saturday,7,474094,8903763.98,670392
2022,Q1,3,March,Sunday,1,403377,8726033.09,564294
2022,Q1,3,March,Monday,2,411216,8680067.31,542734
2022,Q1,3,March,Tuesday,3,581054,11802328.34,761966
2022,Q1,3,March,Wednesday,4,608151,12343826.62,796761
2022,Q1,3,March,Thursday,5,623668,12970684.65,821688
2022,Q1,3,March,Friday,6,510297,10665182.68,689601
2022,Q1,3,March,Saturday,7,490124,9523660.14,698535
